Correct;Wrong;Test image count;Accuracy;Detect Accuracy;FPS;Radius;Neighbours;Scale;Cascade;Single;Dataset
74;176;250;0.2960;1.0000;6.17;8;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
115;135;250;0.4600;1.0000;5.99;8;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
128;122;250;0.5120;1.0000;5.69;8;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
139;111;250;0.5560;1.0000;4.70;8;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
149;101;250;0.5960;1.0000;2.09;8;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
74;176;250;0.2960;1.0000;6.17;10;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
120;130;250;0.4800;1.0000;6.02;10;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
129;121;250;0.5160;1.0000;5.66;10;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
139;111;250;0.5560;1.0000;4.55;10;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
148;102;250;0.5920;1.0000;2.09;10;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
68;182;250;0.2720;1.0000;6.14;20;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
116;134;250;0.4640;1.0000;5.98;20;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
127;123;250;0.5080;1.0000;5.66;20;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
133;117;250;0.5320;1.0000;4.16;20;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
146;104;250;0.5840;1.0000;2.33;20;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
78;172;250;0.3120;1.0000;6.11;30;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
103;147;250;0.4120;1.0000;6.05;30;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
121;129;250;0.4840;1.0000;5.61;30;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
125;125;250;0.5000;1.0000;4.20;30;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
135;115;250;0.5400;1.0000;2.59;30;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
59;191;250;0.2360;0.8813;9.16;1;1;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
95;155;250;0.3800;0.8813;8.89;1;3;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
107;143;250;0.4280;0.8813;8.26;1;5;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
105;145;250;0.4200;0.8813;6.70;1;7;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
96;154;250;0.3840;0.8813;2.91;1;9;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
66;184;250;0.2640;0.8813;9.22;3;1;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
95;155;250;0.3800;0.8813;8.93;3;3;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
104;146;250;0.4160;0.8813;8.47;3;5;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
108;142;250;0.4320;0.8813;7.30;3;7;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
109;141;250;0.4360;0.8813;3.14;3;9;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
62;188;250;0.2480;0.8813;9.15;5;1;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
95;155;250;0.3800;0.8813;8.92;5;3;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
108;142;250;0.4320;0.8813;8.49;5;5;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
106;144;250;0.4240;0.8813;7.10;5;7;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
113;137;250;0.4520;0.8813;2.99;5;9;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
62;188;250;0.2480;0.8813;9.20;7;1;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
95;155;250;0.3800;0.8813;8.96;7;3;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
101;149;250;0.4040;0.8813;8.57;7;5;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
107;143;250;0.4280;0.8813;6.97;7;7;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
119;131;250;0.4760;0.8813;2.91;7;9;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
62;188;250;0.2480;0.8813;9.18;8;1;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
95;155;250;0.3800;0.8813;8.89;8;3;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
103;147;250;0.4120;0.8813;8.55;8;5;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
105;145;250;0.4200;0.8813;6.78;8;7;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
114;136;250;0.4560;0.8813;2.93;8;9;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
65;185;250;0.2600;0.8813;9.26;10;1;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
95;155;250;0.3800;0.8813;8.97;10;3;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
104;146;250;0.4160;0.8813;8.42;10;5;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
117;133;250;0.4680;0.8813;6.69;10;7;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
116;134;250;0.4640;0.8813;2.93;10;9;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
53;197;250;0.2120;0.8813;9.17;20;1;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
86;164;250;0.3440;0.8813;9.02;20;3;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
96;154;250;0.3840;0.8813;8.49;20;5;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
102;148;250;0.4080;0.8813;6.08;20;7;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
108;142;250;0.4320;0.8813;3.25;20;9;1.0;haarcascades/haarcascade_frontalface_alt_tree.xml;0;dup1
